t,m_mean,m_se,m0,R,u,T,n_paths
11.5,0.18939605102757004,0.003872016159393019,0.1888756028375289,0.33333333333336823,5.0,50.0,16000
12.0,0.1897647398609287,0.003905088480040416,0.1888756028375289,0.33333333333336823,5.0,50.0,16000
12.5,0.18975112252549525,0.0039497302531688525,0.1888756028375289,0.33333333333336823,5.0,50.0,16000
13.0,0.18952232609041048,0.003969863683227553,0.1888756028375289,0.33333333333336823,5.0,50.0,16000
13.5,0.1893322660366942,0.003984552083555759,0.1888756028375289,0.33333333333336823,5.0,50.0,16000
14.0,0.18901529210797832,0.003998206030277035,0.1888756028375289,0.33333333333336823,5.0,50.0,16000
14.5,0.1886252017506347,0.004009436830992944,0.1888756028375289,0.33333333333336823,5.0,50.0,16000
15.0,0.1893626236438935,0.004041780171344074,0.1888756028375289,0.33333333333336823,5.0,50.0,16000
15.5,0.18991939873017424,0.004093806202099261,0.1888756028375289,0.33333333333336823,5.0,50.0,16000
16.0,0.19055110525860075,0.004119643165358347,0.1888756028375289,0.33333333333336823,5.0,50.0,16000
16.5,0.19099024499673983,0.00414431186815702,0.1888756028375289,0.33333333333336823,5.0,50.0,16000
17.0,0.19071310274493572,0.004155479107601829,0.1888756028375289,0.33333333333336823,5.0,50.0,16000
17.5,0.1906777478169035,0.004165601435195751,0.1888756028375289,0.33333333333336823,5.0,50.0,16000
18.0,0.19092648153458214,0.004183360854837713,0.1888756028375289,0.33333333333336823,5.0,50.0,16000
18.5,0.19028877657556567,0.004190632576081326,0.1888756028375289,0.33333333333336823,5.0,50.0,16000
19.0,0.19030255263922988,0.00419775271697912,0.1888756028375289,0.33333333333336823,5.0,50.0,16000
19.5,0.19007952017817836,0.004203771605633314,0.1888756028375289,0.33333333333336823,5.0,50.0,16000
20.0,0.1903561566654785,0.004221104873143422,0.1888756028375289,0.33333333333336823,5.0,50.0,16000
20.5,0.18966775741647834,0.004223346934857058,0.1888756028375289,0.33333333333336823,5.0,50.0,16000
21.0,0.18987897404119047,0.004252762688936928,0.1888756028375289,0.33333333333336823,5.0,50.0,16000
21.5,0.18959665153556132,0.004257708066729402,0.1888756028375289,0.33333333333336823,5.0,50.0,16000
22.0,0.18913427545057454,0.00426839546764681,0.1888756028375289,0.33333333333336823,5.0,50.0,16000
22.5,0.18969397570491972,0.004282722296487974,0.1888756028375289,0.33333333333336823,5.0,50.0,16000
23.0,0.18977836572318801,0.004288145729323173,0.1888756028375289,0.33333333333336823,5.0,50.0,16000
23.5,0.18975744758574134,0.004292469932481805,0.1888756028375289,0.33333333333336823,5.0,50.0,16000
24.0,0.19022587684673756,0.004300497997297523,0.1888756028375289,0.33333333333336823,5.0,50.0,16000
24.5,0.19013274901441718,0.004304241245591094,0.1888756028375289,0.33333333333336823,5.0,50.0,16000
25.0,0.1901180991724421,0.004310569192266946,0.1888756028375289,0.33333333333336823,5.0,50.0,16000
25.5,0.18983186120608178,0.0043143899907667664,0.1888756028375289,0.33333333333336823,5.0,50.0,16000
26.0,0.18984619501040065,0.004316903737404151,0.1888756028375289,0.33333333333336823,5.0,50.0,16000
26.5,0.1896375484550957,0.0043188706433137216,0.1888756028375289,0.33333333333336823,5.0,50.0,16000
27.0,0.19002904760508432,0.004328761825045279,0.1888756028375289,0.33333333333336823,5.0,50.0,16000
27.5,0.18997967085106154,0.004335474934104725,0.1888756028375289,0.33333333333336823,5.0,50.0,16000
28.0,0.19009314641009742,0.004340249989686425,0.1888756028375289,0.33333333333336823,5.0,50.0,16000
28.5,0.19032343708534014,0.004347748675153694,0.1888756028375289,0.33333333333336823,5.0,50.0,16000
29.0,0.1903819164987917,0.004350170280727688,0.1888756028375289,0.33333333333336823,5.0,50.0,16000
29.5,0.19046023129166603,0.004353438279032838,0.1888756028375289,0.33333333333336823,5.0,50.0,16000
30.0,0.19045790010685382,0.004357221505761567,0.1888756028375289,0.33333333333336823,5.0,50.0,16000
30.5,0.1904788266261791,0.004360228502374113,0.1888756028375289,0.33333333333336823,5.0,50.0,16000
31.0,0.1904291186433331,0.004363903001883706,0.1888756028375289,0.33333333333336823,5.0,50.0,16000
31.5,0.19026777995287797,0.004364446446273954,0.1888756028375289,0.33333333333336823,5.0,50.0,16000
32.0,0.19064055451200174,0.004370449255899735,0.1888756028375289,0.33333333333336823,5.0,50.0,16000
32.5,0.1907509263163307,0.00437514421709971,0.1888756028375289,0.33333333333336823,5.0,50.0,16000
33.0,0.19089574782169605,0.004379626371861367,0.1888756028375289,0.33333333333336823,5.0,50.0,16000
33.5,0.19079801462739365,0.004380137071812772,0.1888756028375289,0.33333333333336823,5.0,50.0,16000
34.0,0.19077362386457747,0.004381647158789568,0.1888756028375289,0.33333333333336823,5.0,50.0,16000
34.5,0.1910464579198118,0.0043932504228279936,0.1888756028375289,0.33333333333336823,5.0,50.0,16000
35.0,0.19122911560415165,0.004396760058451889,0.1888756028375289,0.33333333333336823,5.0,50.0,16000
35.5,0.19114484124009318,0.004397698106085347,0.1888756028375289,0.33333333333336823,5.0,50.0,16000
36.0,0.19100491995975152,0.004398548490599898,0.1888756028375289,0.33333333333336823,5.0,50.0,16000
36.5,0.19130539753659953,0.0044080359321392185,0.1888756028375289,0.33333333333336823,5.0,50.0,16000
37.0,0.1914465121305776,0.004410600455005017,0.1888756028375289,0.33333333333336823,5.0,50.0,16000
37.5,0.19128433261098568,0.0044111335326781275,0.1888756028375289,0.33333333333336823,5.0,50.0,16000
38.0,0.19117615413290825,0.00441257633734613,0.1888756028375289,0.33333333333336823,5.0,50.0,16000
38.5,0.19116488280398783,0.004413537467056754,0.1888756028375289,0.33333333333336823,5.0,50.0,16000
39.0,0.19110717017815237,0.004414765499179376,0.1888756028375289,0.33333333333336823,5.0,50.0,16000
39.5,0.19142469696136077,0.004428982526676616,0.1888756028375289,0.33333333333336823,5.0,50.0,16000
40.0,0.19135862466608886,0.004430255034650786,0.1888756028375289,0.33333333333336823,5.0,50.0,16000
40.5,0.1916331396897146,0.004435560048972515,0.1888756028375289,0.33333333333336823,5.0,50.0,16000
41.0,0.19160453443579542,0.004436257772475632,0.1888756028375289,0.33333333333336823,5.0,50.0,16000
41.5,0.19154602483505942,0.00443675910188015,0.1888756028375289,0.33333333333336823,5.0,50.0,16000
42.0,0.1915178410342527,0.004438424164517952,0.1888756028375289,0.33333333333336823,5.0,50.0,16000
42.5,0.19156533303662013,0.004438595213742225,0.1888756028375289,0.33333333333336823,5.0,50.0,16000
43.0,0.19150381939853223,0.004438606812132526,0.1888756028375289,0.33333333333336823,5.0,50.0,16000
43.5,0.19143924928016368,0.004439491844273021,0.1888756028375289,0.33333333333336823,5.0,50.0,16000
44.0,0.19172797415896106,0.004443050524952162,0.1888756028375289,0.33333333333336823,5.0,50.0,16000
44.5,0.19179902046912767,0.004443806722988593,0.1888756028375289,0.33333333333336823,5.0,50.0,16000
45.0,0.19174107134200324,0.0044449372746676145,0.1888756028375289,0.33333333333336823,5.0,50.0,16000
45.5,0.1917519214479015,0.0044457243200381295,0.1888756028375289,0.33333333333336823,5.0,50.0,16000
46.0,0.19179044001514586,0.004446177600387773,0.1888756028375289,0.33333333333336823,5.0,50.0,16000
46.5,0.19171015763404434,0.004446192280514017,0.1888756028375289,0.33333333333336823,5.0,50.0,16000
47.0,0.1916641136503588,0.00444620124778331,0.1888756028375289,0.33333333333336823,5.0,50.0,16000
47.5,0.1915277138279262,0.0044464130719168125,0.1888756028375289,0.33333333333336823,5.0,50.0,16000
48.0,0.19146102693416492,0.004446444323209998,0.1888756028375289,0.33333333333336823,5.0,50.0,16000
48.5,0.1913716853781855,0.00444666472340562,0.1888756028375289,0.33333333333336823,5.0,50.0,16000
49.0,0.1914948197926241,0.004447381116862336,0.1888756028375289,0.33333333333336823,5.0,50.0,16000
49.5,0.19149021657827534,0.004447754500757509,0.1888756028375289,0.33333333333336823,5.0,50.0,16000
50.0,0.19149265303450766,0.004448215301070981,0.1888756028375289,0.33333333333336823,5.0,50.0,16000
