N,r,r_frac,success_mc,se,theory,batch_key
100,60,0.6,0.3014,0.0064893457297326975,0.30850426281272947,N100_idx030
100,62,0.62,0.2902,0.006418472715529762,0.2982904704802576,N100_idx031
100,64,0.64,0.2918,0.006428884195566132,0.2874314329176648,N100_idx032
100,66,0.66,0.2698,0.006277068742653691,0.2759473190424957,N100_idx033
100,68,0.68,0.2542,0.006157635260390144,0.2638570749791068,N100_idx034
100,70,0.7,0.2474,0.0061023477449257185,0.2511785320010839,N100_idx035
100,72,0.72,0.2384,0.006026034185100513,0.23792850213069233,N100_idx036
100,74,0.74,0.223,0.005886781803328539,0.22412286311073065,N100_idx037
100,76,0.76,0.217,0.005829425357614591,0.20977663418579542,N100_idx038
100,78,0.78,0.1896,0.005543497812753244,0.1949040439029199,N100_idx039
100,80,0.8,0.1824,0.0054613229166567325,0.179518590955283,N100_idx040
100,82,0.82,0.147,0.005007813894305578,0.1636330989390416,N100_idx041
100,84,0.84,0.1422,0.004939213702604899,0.14725976576594155,N100_idx042
100,86,0.86,0.1312,0.004774653076402515,0.13041020836821185,N100_idx043
100,88,0.88,0.1088,0.004403692995657168,0.11309550324338813,N100_idx044
100,90,0.9,0.0916,0.00407944702134983,0.09532622331199424,N100_idx045
100,92,0.92,0.0756,0.0037385729897916934,0.07711247149792623,N100_idx046
100,94,0.94,0.0544,0.0032075111847038036,0.05846391138789983,N100_idx047
100,96,0.96,0.04,0.0027712812921102037,0.03938979528081148,N100_idx048
100,98,0.98,0.023,0.0021199528296639053,0.0198989898989899,N100_idx049
200,4,0.02,0.0804,0.003845408690893596,0.08079395229576224,N200_idx000
200,7,0.035,0.1146,0.004504816089475796,0.11980608318425057,N200_idx001
200,11,0.055,0.1512,0.005066331216965586,0.1619234481784255,N200_idx002
200,15,0.075,0.1956,0.005609645978134449,0.19661014661693385,N200_idx003
200,19,0.095,0.2342,0.0059891628797353645,0.22590267264288744,N200_idx004
200,23,0.115,0.2516,0.006136732681158598,0.2509550352589795,N200_idx005
200,27,0.135,0.2804,0.006352571762680056,0.27251251630736395,N200_idx006
200,31,0.155,0.2914,0.006426290376259075,0.29109679166616326,N200_idx007
200,35,0.175,0.3136,0.006561326695112811,0.30709366759330203,N200_idx008
200,39,0.195,0.326,0.006629087418340476,0.32080014229108833,N200_idx009
200,43,0.215,0.3334,0.00666699992500375,0.3324519504167177,N200_idx010
200,47,0.235,0.3404,0.006701161690333997,0.34224077000180486,N200_idx011
200,51,0.255,0.352,0.006754198694145739,0.35032553049696497,N200_idx012
200,54,0.27,0.3584,0.006781584475622198,0.3553521496818372,N200_idx013
200,58,0.29,0.3642,0.006805267959456115,0.36076514276983634,N200_idx014
200,62,0.31,0.3624,0.006798032656585286,0.36479779868949436,N200_idx015
200,66,0.33,0.3664,0.006813971529145099,0.36753929158024984,N200_idx016
200,70,0.35,0.3704,0.006829404659265696,0.3690679666691804,N200_idx017
200,74,0.37,0.3776,0.006855920652983085,0.36945320083364025,N200_idx018
200,78,0.39,0.3728,0.0068384232100682394,0.3687568598393714,N200_idx019
200,82,0.41,0.375,0.006846531968814577,0.3670344559670687,N200_idx020
200,86,0.43,0.374,0.006842864897102675,0.36433607929129036,N200_idx021
200,90,0.45,0.3714,0.006833184323578576,0.360707155372818,N200_idx022
200,94,0.47,0.3502,0.006746257629234152,0.3561890680204073,N200_idx023
200,98,0.49,0.3462,0.006728232457339743,0.3508196758855888,N200_idx024
200,101,0.505,0.3556,0.006769765727113458,0.34625498239332125,N200_idx025
200,105,0.525,0.3348,0.006673963739787623,0.3394778080757304,N200_idx026
200,109,0.545,0.3336,0.0066679988002398445,0.3319385561377649,N200_idx027
200,113,0.565,0.3156,0.0065726195690911544,0.3236652047335358,N200_idx028
200,117,0.585,0.3102,0.006541803421075873,0.3146837500545077,N200_idx029
200,121,0.605,0.298,0.006468322811981479,0.30501840976467,N200_idx030
200,125,0.625,0.2902,0.006418472715529762,0.2946917995105072,N200_idx031
200,129,0.645,0.2828,0.006369052676811521,0.28372508681831554,N200_idx032
200,133,0.665,0.2644,0.006236868444981023,0.27213812588814507,N200_idx033
200,137,0.685,0.2674,0.0062593488479234,0.25994957615970055,N200_idx034
200,141,0.705,0.2492,0.006117178434539898,0.24717700702130785,N200_idx035
200,145,0.725,0.2366,0.006010331771208641,0.2338369906290708,N200_idx036
200,148,0.74,0.2186,0.005844895892999293,0.22346904229975206,N200_idx037
200,152,0.76,0.2122,0.005782234170284009,0.20917316062016844,N200_idx038
200,156,0.78,0.1946,0.005598764863789156,0.19435090618608805,N200_idx039
200,160,0.8,0.182,0.00545666564854399,0.1790157785453621,N200_idx040
200,164,0.82,0.161,0.005197672556058144,0.16318060206544527,N200_idx041
200,168,0.84,0.1508,0.005060817325294403,0.14685757535593114,N200_idx042
200,172,0.86,0.1238,0.004657758259076999,0.13005831598198617,N200_idx043
200,176,0.88,0.1066,0.004364319878285733,0.11279390101654843,N200_idx044
200,180,0.9,0.1032,0.004302319374476981,0.09507490390440156,N200_idx045
200,184,0.92,0.0704,0.003617840239701029,0.07691142804811703,N200_idx046
200,188,0.94,0.065,0.0034864021569520637,0.05831313747235079,N200_idx047
200,192,0.96,0.0316,0.0024739215832358147,0.03928928487744695,N200_idx048
200,196,0.98,0.0176,0.0018595827488982577,0.019848737354412938,N200_idx049
